X,Y,OBJECTID,name,operator,owner,address,is24Hours,carParkCount,hasCarparkCost,maxTimeLimit,hasTouristAttraction,latitude,longitude,currentType,dateFirstOperational,numberOfConnectors,connectorsList,hasChargingCost
1623852.9116,5431219.8021,215,Nelson,ChargeNet NZ,Network Tasman Ltd,"81 Trafalgar Street, Nelson 7010, NZ",True,1,False,Unlimited,False,-41.270097,173.284786,Mixed,2018/08/01 00:00:00+00,3,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{AC, 43 kW, Type 2 Tethered, Status: Operative, Count:1}",True
1623226.5542,5430586.1507,216,Nelson,ChargeNet NZ,ChargeNet NZ,"75 Vanguard St, Nelson 7010, NZ",True,1,False,Unlimited,False,-41.275823,173.277332,DC,2018/08/14 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1664223.3548,5430106.6634,217,Havelock,ChargeNet NZ,ChargeNet NZ,"68 Main Rd, Havelock 7100, NZ",True,1,False,Unlimited,False,-41.277922,173.766868,DC,2018/05/31 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1747166.607,5428848.2797,218,Rodney St,ChargeNet NZ,ChargeNet NZ,"Rodney St, Wellington 6012, NZ",True,1,False,Unlimited,False,-41.278398,174.757247,AC,2019/10/04 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True
1745553.5785,5428279.6582,219,Karori,ChargeNet NZ,ChargeNet NZ,"236 Karori Rd, Wellington 6012, New Zealand",True,1,False,Unlimited,False,-41.28381,174.738131,DC,2019/09/06 00:00:00+00,2,"{DC, 25 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 25 kW, CHAdeMO, Status: Operative, Count:1}",True
1748732.8369,5428127.6757,220,Grey Street,ChargeNet NZ,Contact Energy Ltd,"Grey Street, Wellington 6011, NZ",True,1,False,Unlimited,False,-41.284599,174.776116,DC,2018/08/28 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Operative, Count:1},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True
1748728.9926,5427571.301,221,Bond St,ChargeNet NZ,ChargeNet NZ,"25 Bond St, Wellington 6011, NZ",True,1,False,Unlimited,False,-41.289609,174.776206,AC,2019/02/20 00:00:00+00,2,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:2}",False
1749281.8741,5427358.2652,222,Barnett St Carpark,ChargeNet NZ,Contact Energy Ltd,"Barnett Street, Wellington 6011, New Zealand",True,1,False,Unlimited,False,-41.291425,174.782858,DC,2018/08/27 00:00:00+00,2,"{DC, 50 kW, CHAdeMO, Status: Operative, Count:1},{DC, 50 kW, Type 2 CCS, Status: Inoperative, Count:1}",True
1748915.6438,5427224.0547,223,Inglewood Pl,ChargeNet NZ,ChargeNet NZ,"Inglewood Place, Wellington 6011, NZ",True,1,False,Unlimited,False,-41.292701,174.778519,DC,2018/08/28 00:00:00+00,2,"{DC, 50 kW, Type 2 CCS, Status: Inoperative, Count:1},{DC, 50 kW, CHAdeMO, Status: Inoperative, Count:1}",True
1747246.0196,5427007.0619,224,Holloway Rd,ChargeNet NZ,ChargeNet NZ,"Holloway Rd, Wellington 6021, NZ",True,1,False,Unlimited,False,-41.294961,174.75864,AC,2019/11/12 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True
1747822.965,5426762.6611,225,Epuni St,ChargeNet NZ,ChargeNet NZ,"Epuni St, Wellington 6021, NZ",True,1,False,Unlimited,False,-41.297056,174.765587,AC,2019/09/26 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True
1749603.4405,5426530.8508,226,Austin St,ChargeNet NZ,ChargeNet NZ,"Austin St, Wellington 6011, NZ",True,1,False,Unlimited,False,-41.298815,174.7869,AC,2019/09/26 00:00:00+00,2,"{AC, 7 kW, Type 2 Socketed, Status: Operative, Count:2}",True
